282 -2
282 -2
173 -2
53 -1
44 -1
101 -2
105 -2
26 -2
239 -1
3 -1
49 -1
74 -2
42 -2
22 -2
15 -2
67 -1
24 -2
353 -2
110 -1
288 -2
122 -2
325 -1
188 -1
352 -1
89 -1
22 -1
82 -1
139 -1
81 -2
83 -2
115 -1
79 -2
42 -2
216 -1
198 -1
50 -2
46 -2
90 -1
353 -1
340 -1
317 -1
9 -2
17 -2
221 -2
208 -1
333 -1
92 -2
106 -2
60 -1
345 -2
96 -1
319 -1
321 -2
126 -1
25 -1
37 -1
88 -2
37 -2
48 -2
143 -2
121 -1
352 -1
345 -1
58 -2
91 -2
353 -2
345 -2
39 -2
9 -1
17 -1
259 -2
152 -1
315 -1
6 -1
103 -1
18 -1
328 -1
84 -1
353 -2
102 -2
3 -2
7 -2
130 -2
25 -2
59 -1
47 -1
165 -1
11 -2
164 -1
158 -1
353 -2
180 -2
2 -2
281 -2
123 -1
93 -1
95 -2
274 -2
87 -1
246 -2
154 -2
353 -2
118 -1
28 -1
182 -2
78 -1
145 -1
140 -2
10 -2
39 -1
230 -2
148 -1
121 -1
51 -1
339 -1
174 -2
353 -2
56 -2
308 -2
302 -2
147 -1
159 -1
286 -2
28 -1
3 -1
18 -1
6 -1
57 -2
349 -1
7 -1
31 -2
353 -2
320 -1
124 -2
34 -2
119 -1
331 -2
122 -2
5 -2
136 -2
94 -2
14 -2
235 -2
66 -2
107 -1
150 -1
64 -1
19 -1
127 -2
238 -2
304 -2
133 -1
353 -2
250 -2
115 -2
73 -2
176 -2
170 -2
342 -2
45 -2
62 -1
327 -1
223 -1
353 -1
75 -2
120 -1
153 -1
54 -1
175 -1
104 -2
247 -2
61 -1
97 -1
277 -1
298 -2
228 -1
316 -1
71 -2
85 -2
24 -2
285 -2
214 -1
310 -2
126 -1
352 -1
349 -1
12 -1
17 -1
324 -2
120 -2
202 -1
183 -1
353 -2
19 -1
232 -1
131 -1
63 -2
318 -1
18 -2
6 -2
353 -2
113 -2
33 -2
3 -1
156 -2
6 -2
111 -2
210 -1
220 -2
65 -2
109 -2
112 -2
108 -1
5 -1
100 -2
13 -2
227 -2
5 -1
98 -1
279 -1
21 -2
14 -2
21 -2
353 -2
19 -1
199 -1
155 -2
217 -1
32 -2
16 -1
123 -1
229 -2
334 -2
161 -1
172 -1
33 -2
223 -1
353 -2
269 -1
76 -2
72 -1
27 -1
231 -1
27 -2
146 -1
222 -2
32 -2
245 -2
237 -2
301 -1
68 -2
223 -2
353 -2
16 -1
255 -1
280 -1
86 -2
3 -2
77 -1
336 -2
5 -2
169 -2
6 -1
18 -1
352 -1
335 -1
14 -1
349 -2
353 -2
3 -1
99 -2
41 -2
329 -2
13 -1
352 -2
43 -1
199 -2
26 -2
266 -2
151 -1
157 -1
52 -2
303 -2
171 -1
10 -2
15 -1
115 -1
80 -1
52 -2
352 -2
353 -2
101 -2
334 -2
11 -2
334 -2
310 -2
123 -1
32 -2
26 -2
136 -2
94 -2
56 -2
146 -1
91 -2
352 -1
158 -1
342 -1
28 -1
3 -1
154 -2
7 -2
353 -2
49 -1
130 -2
72 -1
266 -2
145 -1
100 -2
353 -2
3 -2
104 -2
7 -1
87 -1
337 -1
73 -2
15 -1
16 -1
353 -2
321 -2
345 -1
3 -1
353 -2
151 -1
22 -1
303 -2
37 -2
79 -2
43 -1
171 -1
353 -2
10 -2
31 -2
148 -1
121 -1
285 -2
95 -2
107 -1
150 -1
64 -1
19 -1
65 -2
324 -2
15 -2
21 -2
202 -1
336 -2
24 -2
68 -2
80 -1
103 -1
18 -1
9 -1
19 -1
255 -1
115 -2
331 -2
122 -2
5 -2
152 -1
349 -1
12 -1
61 -1
2 -2
352 -1
57 -2
239 -1
12 -1
28 -1
119 -1
22 -2
18 -1
6 -1
231 -1
237 -2
62 -1
304 -2
353 -2
140 -2
81 -2
5 -1
98 -1
208 -1
7 -1
159 -1
112 -2
88 -2
111 -2
31 -2
5 -2
169 -2
99 -2
39 -1
153 -1
298 -2
353 -1
9 -2
221 -2
147 -1
77 -1
34 -2
217 -1
106 -2
74 -2
13 -1
157 -1
118 -1
41 -2
345 -2
19 -1
66 -2
302 -2
