unused1,messageId,unused2,increaseId
0,368,0,1
0,49,0,1
0,34,0,0
0,221,0,0
0,49,0,1
0,49,0,1
0,49,0,1
0,309,0,1
0,360,0,1
0,34,0,0
0,49,0,1
0,34,0,0
0,49,0,1
0,368,0,1
0,49,0,1
0,49,0,1
0,49,0,1
0,292,0,0
0,310,0,0
0,34,0,0
0,182,0,0
0,34,0,0
0,34,0,0
0,49,0,1
0,176,0,1
0,49,0,1
0,335,0,0
0,49,0,1
0,360,0,1
0,14,0,1
0,34,0,0
0,142,0,1
0,49,0,1
0,292,0,0
0,310,0,0
0,34,0,0
0,34,0,0
0,47,0,0
0,34,0,0
0,34,0,0
0,34,0,0
0,13,0,0
0,49,0,1
0,269,0,1
0,368,0,1
0,49,0,1
0,49,0,1
0,368,0,1
0,34,0,0
0,34,0,0
